"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
16,"1996-12-04","LAL","@","UTA","L",0,"13:00",2,6,0.33,0,0,NA,4,6,0.67,1,2,3,2,0,0,1,1,8,5.1,"Kobe Bryant","Regular Season"
17,"1996-12-08","LAL","","MIN","W",0,"22:00",3,10,0.3,0,3,0,5,6,0.83,2,1,3,3,2,2,3,2,11,8.2,"Kobe Bryant","Regular Season"
18,"1996-12-10","LAL","@","SAC","W",0,"6:00",0,1,0,0,1,0,0,0,NA,0,1,1,1,1,0,1,0,0,0.3,"Kobe Bryant","Regular Season"
19,"1996-12-17","LAL","@","CHI","L",0,"10:00",2,5,0.4,1,2,0.5,0,2,0,0,1,1,0,0,1,0,1,5,2.1,"Kobe Bryant","Regular Season"
20,"1996-12-18","LAL","@","MIL","W",0,"8:00",0,0,NA,0,0,NA,0,0,NA,2,1,3,1,0,1,1,0,0,2.1,"Kobe Bryant","Regular Season"
21,"1996-12-21","LAL","@","MIN","L",0,"11:00",2,3,0.67,1,2,0.5,0,0,NA,0,1,1,0,0,1,3,2,5,0.9,"Kobe Bryant","Regular Season"
22,"1996-12-25","LAL","@","PHO","W",0,"5:00",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,"Kobe Bryant","Regular Season"
23,"1996-12-29","LAL","","PHI","W",0,"7:00",0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,0,1,3,0,-1.6,"Kobe Bryant","Regular Season"
24,"1997-01-02","LAL","@","SAC","W",0,"10:00",2,3,0.67,0,1,0,0,0,NA,0,1,1,2,1,0,0,3,4,4.2,"Kobe Bryant","Regular Season"
25,"1997-01-03","LAL","","SAC","W",0,"22:00",6,10,0.6,0,2,0,9,10,0.9,2,3,5,1,2,2,0,1,21,22,"Kobe Bryant","Regular Season"
26,"1997-01-05","LAL","@","VAN","W",0,"29:00",6,9,0.67,1,1,1,3,4,0.75,3,2,5,3,1,0,2,3,16,14.3,"Kobe Bryant","Regular Season"
27,"1997-01-06","LAL","@","POR","L",0,"23:00",3,9,0.33,1,3,0.33,1,2,0.5,0,2,2,2,2,0,2,3,8,3.3,"Kobe Bryant","Regular Season"
28,"1997-01-08","LAL","","CHH","W",0,"22:00",4,13,0.31,0,2,0,1,2,0.5,1,0,1,2,2,1,2,2,9,3.1,"Kobe Bryant","Regular Season"
29,"1997-01-10","LAL","","MIA","W",0,"8:00",1,3,0.33,0,1,0,0,0,NA,1,2,3,0,0,0,2,0,2,-0.4,"Kobe Bryant","Regular Season"
30,"1997-01-14","LAL","","VAN","W",0,"6:00",1,6,0.17,0,2,0,0,0,NA,0,0,0,0,1,0,0,1,2,-1.2,"Kobe Bryant","Regular Season"
31,"1997-01-18","LAL","","DET","L",0,"32:00",8,13,0.62,3,5,0.6,2,2,1,0,2,2,5,1,0,4,1,21,15.8,"Kobe Bryant","Regular Season"
32,"1997-01-20","LAL","","DAL","W",0,"13:00",3,7,0.43,0,0,NA,0,0,NA,1,1,2,1,1,0,5,2,6,-0.8,"Kobe Bryant","Regular Season"
33,"1997-01-24","LAL","","GSW","W",0,"25:00",4,8,0.5,1,4,0.25,8,8,1,3,3,6,4,1,0,3,2,17,16,"Kobe Bryant","Regular Season"
34,"1997-01-26","LAL","@","SEA","W",0,"17:00",3,6,0.5,1,1,1,0,0,NA,1,0,1,1,1,0,3,0,7,3.4,"Kobe Bryant","Regular Season"
35,"1997-01-28","LAL","@","DAL","W",1,"32:00",5,11,0.45,0,3,0,2,3,0.67,1,2,3,2,2,1,3,1,12,7.9,"Kobe Bryant","Regular Season"
36,"1997-01-29","LAL","@","SAS","W",1,"30:00",6,12,0.5,3,7,0.43,4,4,1,1,3,4,0,2,2,3,2,19,14.2,"Kobe Bryant","Regular Season"
37,"1997-02-02","LAL","","WSB","W",0,"24:00",2,9,0.22,0,1,0,9,9,1,0,3,3,3,0,0,1,0,13,9.5,"Kobe Bryant","Regular Season"
38,"1997-02-04","LAL","@","LAC","L",0,"23:00",2,10,0.2,0,2,0,2,2,1,1,2,3,0,2,0,2,2,6,0.3,"Kobe Bryant","Regular Season"
39,"1997-02-05","LAL","","CHI","W",0,"13:00",2,7,0.29,1,2,0.5,0,0,NA,1,2,3,0,0,1,0,0,5,2.9,"Kobe Bryant","Regular Season"
40,"1997-02-12","LAL","@","MIN","W",0,"11:00",0,4,0,0,0,NA,2,3,0.67,1,1,2,3,0,1,1,1,2,1.2,"Kobe Bryant","Regular Season"
41,"1997-02-13","LAL","@","DEN","W",0,"20:00",4,10,0.4,1,2,0.5,0,0,NA,1,1,2,3,1,0,1,2,9,5.9,"Kobe Bryant","Regular Season"
42,"1997-02-16","LAL","","SEA","L",0,"13:00",0,3,0,0,1,0,0,0,NA,0,1,1,0,0,0,2,2,0,-4.6,"Kobe Bryant","Regular Season"
43,"1997-02-19","LAL","","CLE","L",1,"23:00",3,7,0.43,2,4,0.5,2,2,1,0,2,2,0,0,2,1,3,10,6.1,"Kobe Bryant","Regular Season"
44,"1997-02-21","LAL","","VAN","W",0,"5:00",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,2,0,2,0,"Kobe Bryant","Regular Season"
