"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
18,"1996-12-05","CHI","","LAC","W",1,"31:00",9,21,0.43,0,3,0,2,3,0.67,1,3,4,6,2,0,1,3,20,14.1,"Michael Jordan","Regular Season"
19,"1996-12-07","CHI","","MIA","L",1,"42:00",16,30,0.53,0,3,0,5,6,0.83,1,8,9,3,0,0,0,1,37,26.8,"Michael Jordan","Regular Season"
20,"1996-12-08","CHI","@","TOR","L",1,"41:00",5,17,0.29,1,4,0.25,2,2,1,0,9,9,8,2,2,3,1,13,11.4,"Michael Jordan","Regular Season"
21,"1996-12-11","CHI","","MIN","W",1,"36:00",10,16,0.62,1,1,1,6,6,1,0,7,7,3,3,0,1,0,27,NA,"Michael Jordan","Regular Season"
22,"1996-12-13","CHI","@","NJN","W",1,"34:00",9,19,0.47,3,5,0.6,11,12,0.92,0,6,6,6,4,0,1,2,32,30.1,"Michael Jordan","Regular Season"
23,"1996-12-14","CHI","","CHH","W",1,"41:00",10,26,0.38,0,3,0,9,12,0.75,2,7,9,5,5,0,1,0,29,24.6,"Michael Jordan","Regular Season"
24,"1996-12-17","CHI","","LAL","W",1,"47:00",10,32,0.31,0,2,0,10,14,0.71,5,4,9,3,1,1,2,2,30,15.7,"Michael Jordan","Regular Season"
25,"1996-12-19","CHI","@","CHH","W",1,"36:00",13,27,0.48,3,8,0.38,6,7,0.86,5,3,8,1,1,1,2,0,35,25.7,"Michael Jordan","Regular Season"
26,"1996-12-21","CHI","@","PHI","W",1,"44:00",12,29,0.41,1,3,0.33,6,8,0.75,0,1,1,3,1,1,1,4,31,16.2,"Michael Jordan","Regular Season"
27,"1996-12-23","CHI","","NJN","W",1,"33:00",10,18,0.56,0,1,0,4,4,1,2,1,3,4,0,0,3,1,24,16.5,"Michael Jordan","Regular Season"
28,"1996-12-25","CHI","","DET","W",1,"46:00",9,21,0.43,0,4,0,5,7,0.71,6,4,10,2,1,0,4,3,23,13.7,"Michael Jordan","Regular Season"
29,"1996-12-26","CHI","@","ATL","L",1,"40:00",10,25,0.4,2,5,0.4,12,13,0.92,0,3,3,1,2,1,0,2,34,23.6,"Michael Jordan","Regular Season"
30,"1996-12-28","CHI","","CLE","W",1,"42:00",13,25,0.52,0,1,0,19,20,0.95,2,5,7,5,3,0,4,4,45,36.1,"Michael Jordan","Regular Season"
31,"1996-12-30","CHI","","IND","W",1,"40:00",12,29,0.41,1,5,0.2,3,4,0.75,3,4,7,4,1,0,3,1,28,15.8,"Michael Jordan","Regular Season"
32,"1997-01-03","CHI","","ORL","W",1,"35:00",10,18,0.56,0,2,0,2,2,1,1,3,4,6,2,1,2,2,22,19.1,"Michael Jordan","Regular Season"
33,"1997-01-06","CHI","","UTA","W",1,"40:00",8,20,0.4,2,3,0.67,5,6,0.83,3,5,8,3,3,1,1,1,23,19.8,"Michael Jordan","Regular Season"
